Zones,Total,Ser,Minor,VKT,LN_PO,P_YP,P_INC1,P_Cycle,P_Res,P_Coma,Index,Bus,Schol,T_Sig,Tram,Speed
SED20106,947.0000,303.0000,640.0000,7.0418,11.2332,12.4643,26.0079,4.5966,32.9373,14.7390,0.8904,220.0000,13.0000,227.0000,151.0000,51.4308
SED20207,620.0000,211.0000,400.0000,7.6453,11.4680,27.3368,30.7970,0.5535,27.2314,3.3325,0.7417,372.0000,26.0000,97.0000,0.0000,57.1025
SED20502,356.0000,111.0000,231.0000,6.7506,11.2658,26.8213,46.4656,0.5388,4.7945,1.7286,0.2117,161.0000,22.0000,19.0000,0.0000,64.0346
SED20601,328.0000,83.0000,243.0000,6.6748,10.8550,21.5868,39.4381,0.6621,60.3960,4.4998,0.6776,228.0000,19.0000,71.0000,0.0000,54.6819
SED20804,0.0000,0.0000,0.0000,0.0000,10.8060,22.4628,57.9785,1.3076,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
SED21206,339.0000,95.0000,241.0000,6.1249,10.9232,24.6113,35.5440,1.4818,74.4608,3.0119,0.4774,269.0000,20.0000,43.0000,0.0000,49.6502
SED21301,314.0000,97.0000,214.0000,6.4087,10.9763,22.7809,34.4319,1.2497,80.5648,3.5398,0.3954,312.0000,19.0000,61.0000,26.0000,49.0993
SED21406,398.0000,127.0000,267.0000,5.7524,10.9199,23.8623,28.3017,2.5101,78.3354,3.0708,0.3939,254.0000,18.0000,66.0000,10.0000,50.7937
SED21503,640.0000,188.0000,443.0000,6.5802,11.0631,29.4242,56.0823,0.4166,37.7732,10.3398,0.7788,392.0000,28.0000,79.0000,0.0000,50.9392
SED21603,586.0000,163.0000,419.0000,6.0225,11.0430,16.4011,35.6798,11.3458,73.9726,6.1769,0.5006,231.0000,17.0000,68.0000,102.0000,43.2708
SED21701,202.0000,66.0000,133.0000,6.2304,10.7524,20.7484,34.1524,0.3385,67.2497,2.2427,0.5499,266.0000,10.0000,36.0000,0.0000,57.5676
SED21803,300.0000,81.0000,217.0000,6.2663,10.8928,21.4699,38.9073,0.9077,58.9440,2.3420,0.6735,232.0000,19.0000,62.0000,24.0000,51.1461
SED21906,382.0000,105.0000,277.0000,6.3455,10.9925,22.9164,35.0693,1.8925,75.7676,2.4941,0.4894,250.0000,19.0000,71.0000,43.0000,48.4055
SED22005,354.0000,119.0000,234.0000,6.3840,11.0082,22.7037,41.2744,0.7234,57.4977,15.0532,0.6965,274.0000,17.0000,46.0000,0.0000,56.1111
SED22106,450.0000,127.0000,320.0000,5.4563,10.9393,21.5457,31.6303,2.4854,85.9239,3.8539,0.3046,170.0000,16.0000,58.0000,108.0000,47.2849
SED22205,522.0000,149.0000,367.0000,6.9560,10.9999,18.3133,45.6636,0.9914,39.6767,10.6448,0.8478,365.0000,14.0000,102.0000,0.0000,54.6494
SED22305,549.0000,169.0000,375.0000,7.0125,11.3241,27.9458,39.9436,0.2650,28.0385,5.0818,0.5995,355.0000,26.0000,55.0000,0.0000,60.7965
SED22405,628.0000,194.0000,425.0000,7.0294,11.0059,23.8498,53.9523,0.4426,50.1058,5.2846,0.7473,327.0000,17.0000,90.0000,0.0000,54.8163
SED22507,533.0000,195.0000,330.0000,6.8473,11.1519,24.7525,46.7276,0.5032,44.5004,1.3564,0.7168,259.0000,25.0000,97.0000,0.0000,53.9843
SED22601,253.0000,87.0000,163.0000,6.0887,10.8072,20.7174,37.9416,0.4043,80.6668,2.2695,0.3900,267.0000,14.0000,42.0000,0.0000,54.3939
SED22701,145.0000,37.0000,104.0000,5.5318,10.8536,24.9903,28.3688,0.6456,78.2269,1.4572,0.4261,183.0000,20.0000,25.0000,0.0000,50.5429
SED22807,432.0000,116.0000,314.0000,6.5858,10.9400,22.1895,33.0835,2.6371,62.1053,4.3415,0.5779,245.0000,20.0000,78.0000,76.0000,49.4803
SED22902,368.0000,130.0000,233.0000,6.5738,10.9410,26.4666,34.3397,0.2416,42.9821,1.0625,0.4897,300.0000,24.0000,29.0000,0.0000,62.3311
SED23001,365.0000,102.0000,262.0000,5.9109,11.0649,26.6590,32.0089,0.3600,49.4253,11.6379,0.7066,331.0000,15.0000,35.0000,0.0000,55.2576
SED23107,647.0000,217.0000,423.0000,6.1896,11.1419,19.9983,42.0322,3.1957,40.4408,8.6094,0.8283,399.0000,21.0000,124.0000,45.0000,51.7143
SED23201,266.0000,73.0000,186.0000,5.8889,10.8341,21.6093,39.2810,0.6926,74.4404,4.7354,0.4923,233.0000,20.0000,34.0000,18.0000,50.6040
SED23305,370.0000,126.0000,238.0000,6.1426,10.8709,22.5900,47.6476,0.5006,69.2260,6.9513,0.5726,298.0000,18.0000,43.0000,0.0000,55.2273
SED23502,611.0000,234.0000,364.0000,7.1123,11.0627,27.6251,36.9706,0.1791,14.0131,11.5650,0.4101,342.0000,31.0000,36.0000,0.0000,64.0847
SED23702,0.0000,0.0000,0.0000,0.0000,10.8939,23.9962,54.2754,1.2377,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
SED23802,462.0000,164.0000,285.0000,7.0529,11.0991,26.3288,40.0811,0.2912,42.5285,1.3112,0.5305,278.0000,30.0000,21.0000,0.0000,68.2204
SED23906,414.0000,132.0000,281.0000,5.8999,10.9607,20.7532,26.5684,2.8301,75.5216,7.0661,0.4713,97.0000,17.0000,77.0000,129.0000,46.3011
SED24003,363.0000,97.0000,263.0000,5.6251,10.9030,22.4747,36.8101,2.0063,66.1906,2.2877,0.6068,287.0000,19.0000,65.0000,0.0000,50.2865
SED24107,258.0000,77.0000,173.0000,6.5590,11.3243,28.9203,30.2812,0.1429,37.4014,0.9914,0.5234,292.0000,21.0000,46.0000,0.0000,57.8065
SED24206,374.0000,109.0000,262.0000,6.2207,10.8608,23.8199,25.6353,2.1577,69.2082,2.4781,0.5256,169.0000,25.0000,71.0000,84.0000,48.8274
SED24301,364.0000,98.0000,260.0000,6.1066,10.9680,23.2540,40.5126,0.4727,70.2428,3.6989,0.5537,324.0000,20.0000,56.0000,0.0000,54.2857
SED24407,291.0000,96.0000,189.0000,4.8958,11.1772,26.5035,43.5566,0.2517,75.8333,7.7403,0.4667,244.0000,20.0000,23.0000,0.0000,49.4444
SED24508,76.0000,32.0000,41.0000,5.8827,11.1627,28.2478,46.3799,0.6075,6.4584,22.2257,0.4487,98.0000,6.0000,4.0000,0.0000,63.5498
SED24705,617.0000,202.0000,410.0000,6.7537,11.1527,25.9871,43.2667,0.2981,31.8884,12.7320,0.7827,292.0000,23.0000,76.0000,0.0000,62.2840
SED24804,134.0000,45.0000,87.0000,6.1862,11.1376,27.6194,32.6985,0.1566,21.2737,1.3295,0.3842,217.0000,13.0000,12.0000,0.0000,61.0577
SED24906,536.0000,134.0000,400.0000,6.5020,10.9155,20.5387,27.3377,1.9074,75.5630,4.6360,0.4511,136.0000,17.0000,112.0000,143.0000,52.8352
SED25003,1978.0000,573.0000,1394.0000,6.8064,11.4342,12.2038,36.0793,6.5778,25.7328,18.9067,0.9315,254.0000,26.0000,336.0000,303.0000,48.0565
SED25108,403.0000,151.0000,243.0000,6.7961,11.1711,27.6457,42.1195,0.2482,8.1388,2.7602,0.3331,260.0000,20.0000,23.0000,0.0000,63.5774
SED25303,344.0000,110.0000,229.0000,6.0867,11.0087,25.2479,37.7210,0.2729,55.3732,8.0921,0.7221,314.0000,16.0000,59.0000,3.0000,53.4832
SED25401,317.0000,89.0000,223.0000,5.4408,10.8840,23.3720,36.4124,0.9375,72.7156,4.8542,0.5325,321.0000,17.0000,67.0000,0.0000,52.6379
SED25502,416.0000,134.0000,277.0000,5.6460,10.8759,25.3441,34.2543,0.4419,59.0041,5.4098,0.5470,360.0000,30.0000,24.0000,0.0000,56.9917
SED25605,511.0000,146.0000,356.0000,6.1512,10.9899,23.3487,38.2055,1.0513,46.0701,3.3342,0.7978,355.0000,16.0000,73.0000,0.0000,57.5117
SED25702,304.0000,93.0000,206.0000,5.9598,10.9460,25.3746,39.8128,0.4202,55.9308,3.5765,0.5966,210.0000,17.0000,21.0000,0.0000,61.2710
SED25905,294.0000,76.0000,215.0000,5.7140,10.9131,21.8390,38.0585,0.8751,81.2202,4.8965,0.3881,231.0000,18.0000,52.0000,0.0000,50.1835
SED26005,489.0000,141.0000,344.0000,6.4610,10.8667,21.0072,43.6568,0.4726,57.9700,13.6810,0.6877,267.0000,18.0000,44.0000,0.0000,55.4255
SED26202,0.0000,0.0000,0.0000,0.0000,10.9968,25.4243,52.0705,0.3970,2.4107,0.0000,0.0670,0.0000,0.0000,0.0000,0.0000,0.0000
SED26305,299.0000,81.0000,213.0000,6.1890,11.0058,27.2267,34.0928,0.1899,77.8792,3.0982,0.4319,225.0000,16.0000,24.0000,0.0000,59.1594
SED26405,614.0000,163.0000,442.0000,6.3212,11.4342,32.0859,32.0975,0.1469,58.5419,6.0959,0.6648,422.0000,24.0000,54.0000,0.0000,58.5075
SED26502,400.0000,126.0000,265.0000,6.3343,10.8215,19.5356,57.1810,0.5799,40.5739,0.7319,0.4847,375.0000,13.0000,24.0000,0.0000,66.2614
SED26607,326.0000,103.0000,221.0000,6.4140,10.8114,21.0076,41.2765,0.6906,50.5210,3.8847,0.7207,233.0000,14.0000,72.0000,15.0000,55.2308
SED26703,491.0000,148.0000,338.0000,5.6505,10.9757,19.4428,36.2901,9.4463,57.7240,5.3970,0.6962,265.0000,19.0000,85.0000,56.0000,48.0510
SED26806,383.0000,105.0000,276.0000,5.1385,10.9576,19.4090,37.7784,1.6730,75.5664,3.6711,0.4789,263.0000,16.0000,57.0000,17.0000,51.6975
SED26907,525.0000,149.0000,369.0000,5.9692,11.0485,21.4599,41.1788,2.6176,65.9232,2.8680,0.6035,293.0000,16.0000,72.0000,28.0000,48.5031
SED27106,839.0000,223.0000,610.0000,5.3980,11.0052,10.3110,30.2921,4.5087,58.9840,12.3248,0.6233,111.0000,17.0000,96.0000,154.0000,46.2989
SED27203,428.0000,108.0000,318.0000,5.5287,11.0042,20.1005,47.0248,2.7246,72.3570,5.1365,0.5312,356.0000,20.0000,65.0000,45.0000,47.3128
SED27303,1006.0000,312.0000,688.0000,6.0944,11.0053,14.0296,31.8446,9.6099,50.1319,16.9162,0.7556,97.0000,20.0000,144.0000,139.0000,43.6158
SED27606,247.0000,89.0000,155.0000,4.8346,10.8507,23.6780,32.9121,1.8846,73.0418,7.5682,0.4696,297.0000,18.0000,52.0000,0.0000,50.1498
SED27701,230.0000,61.0000,164.0000,6.2157,10.8594,22.7327,31.3899,0.3933,45.8318,10.6084,0.7780,308.0000,18.0000,44.0000,0.0000,56.1011
SED27804,160.0000,65.0000,92.0000,5.3889,10.9951,26.6549,44.9039,0.4283,24.6218,25.8660,0.5631,54.0000,10.0000,4.0000,0.0000,65.7341
SED28307,397.0000,151.0000,237.0000,5.7927,11.2990,27.2836,38.4924,0.3537,49.2097,1.1843,0.4925,340.0000,25.0000,51.0000,0.0000,57.3871
SED28403,355.0000,110.0000,236.0000,5.9843,10.8992,22.1832,53.5670,0.4461,52.9709,5.9389,0.7509,298.0000,21.0000,49.0000,0.0000,52.0888
SED28501,358.0000,102.0000,253.0000,5.6817,10.9701,25.4668,32.9404,0.3591,76.9730,2.3877,0.4253,336.0000,23.0000,45.0000,0.0000,54.5594
SED28607,397.0000,124.0000,272.0000,6.1362,10.9554,22.8676,36.5934,2.8109,48.6545,2.4992,0.7699,336.0000,21.0000,91.0000,0.0000,49.9569
SED28703,506.0000,152.0000,341.0000,6.4407,11.4187,29.4043,26.2681,0.2014,33.6990,12.1992,0.5931,358.0000,32.0000,40.0000,0.0000,59.7841
SED28807,492.0000,166.0000,318.0000,6.7932,11.3063,28.7882,34.3096,0.2425,13.2304,5.1892,0.5155,283.0000,22.0000,66.0000,0.0000,61.0000
